'Date','Sleep Time','Awake Time','Duration','Rating'
'06-08-2015','01:20 am','09:00 am','07 hr 40 min',''
'06-07-2015','03:51 am','10:30 am','06 hr 39 min',''
'06-06-2015','01:57 am','09:20 am','07 hr 23 min',''
'06-05-2015','01:33 am','08:25 am','06 hr 52 min',''
'06-04-2015','01:17 am','08:15 am','06 hr 58 min',''
'06-03-2015','01:17 am','08:27 am','07 hr 10 min',''
'06-02-2015','01:24 am','08:22 am','06 hr 58 min',''
'06-01-2015','01:22 am','09:00 am','07 hr 38 min',''
'05-31-2015','02:27 am','10:00 am','07 hr 33 min',''
'05-30-2015','02:54 am','10:00 am','07 hr 06 min',''
'05-29-2015','01:34 am','09:54 am','08 hr 20 min',''
'05-28-2015','08:05 am','08:06 am','00 hr 01 min',''
'05-28-2015','01:06 am','08:05 am','06 hr 60 min',''
'05-27-2015','01:21 am','08:30 am','07 hr 10 min',''
'05-26-2015','12:49 am','08:00 am','07 hr 11 min',''
'05-25-2015','12:58 am','08:00 am','07 hr 02 min',''
'05-24-2015','01:20 am','09:00 am','07 hr 41 min',''
'05-23-2015','02:22 am','09:00 am','06 hr 38 min',''
'05-22-2015','12:57 am','09:16 am','08 hr 19 min',''
'05-21-2015','12:34 am','08:00 am','07 hr 26 min',''
'05-20-2015','01:19 am','08:20 am','07 hr 01 min',''
'05-19-2015','12:26 am','08:00 am','07 hr 35 min',''
'05-18-2015','01:03 am','09:19 am','08 hr 16 min',''
'05-17-2015','02:22 am','10:15 am','07 hr 53 min',''
'05-16-2015','02:46 am','09:27 am','06 hr 41 min',''
'05-15-2015','02:24 am','08:32 am','06 hr 08 min',''
'05-14-2015','01:15 am','08:36 am','07 hr 21 min',''
'05-13-2015','03:27 am','08:25 am','04 hr 58 min',''
'05-12-2015','01:01 am','08:30 am','07 hr 29 min',''
'05-11-2015','02:31 am','09:00 am','06 hr 29 min',''
'05-09-2015','03:17 am','09:30 am','06 hr 13 min',''
'05-08-2015','03:52 am','10:30 am','06 hr 38 min',''
'05-07-2015','01:35 am','09:40 am','08 hr 05 min',''
'05-06-2015','03:12 am','08:20 am','05 hr 08 min',''
'05-05-2015','01:21 am','08:40 am','07 hr 19 min',''
'05-04-2015','01:18 am','08:15 am','06 hr 57 min',''
'05-03-2015','02:32 am','10:25 am','07 hr 53 min',''
'05-02-2015','02:57 am','09:48 am','06 hr 51 min',''
'05-01-2015','01:24 am','09:16 am','07 hr 52 min',''
'04-30-2015','01:42 am','08:38 am','06 hr 56 min',''
'04-29-2015','03:30 am','09:00 am','05 hr 30 min',''
'04-28-2015','12:28 am','08:00 am','07 hr 33 min',''
'04-27-2015','01:02 am','08:20 am','07 hr 19 min',''
'04-26-2015','02:05 am','09:10 am','07 hr 05 min',''
'04-25-2015','02:24 am','10:00 am','07 hr 36 min',''
'04-24-2015','01:33 am','09:30 am','07 hr 57 min',''
'04-23-2015','12:59 am','08:45 am','07 hr 46 min',''
'04-22-2015','01:23 am','09:00 am','07 hr 37 min',''
'04-21-2015','01:03 am','08:10 am','07 hr 07 min',''
'04-20-2015','01:40 am','09:40 am','08 hr 00 min',''
'04-19-2015','03:42 am','10:00 am','06 hr 18 min',''
'04-18-2015','03:16 am','10:38 am','07 hr 22 min',''
'04-17-2015','12:58 am','09:00 am','08 hr 02 min',''
'04-15-2015','03:17 am','10:30 am','07 hr 13 min',''
'04-14-2015','02:45 am','09:18 am','06 hr 33 min',''
'04-13-2015','01:45 am','10:00 am','08 hr 15 min',''
'04-12-2015','03:35 am','11:00 am','07 hr 25 min',''
'04-11-2015','02:30 am','11:25 am','08 hr 55 min',''
'04-10-2015','02:04 am','09:30 am','07 hr 26 min',''
'04-09-2015','02:58 am','09:40 am','06 hr 42 min',''
'04-08-2015','02:03 am','09:30 am','07 hr 27 min',''
'04-07-2015','02:35 am','08:20 am','05 hr 46 min',''
'04-06-2015','01:22 am','09:30 am','08 hr 08 min',''
'04-04-2015','02:50 am','09:13 am','06 hr 23 min',''
'04-03-2015','02:30 am','08:00 am','05 hr 31 min',''
'04-02-2015','02:40 am','10:10 am','07 hr 30 min',''
'04-01-2015','01:41 am','09:13 am','07 hr 32 min',''
'03-30-2015','01:54 am','09:30 am','07 hr 36 min',''
'03-29-2015','03:00 am','11:30 am','08 hr 30 min',''
'03-27-2015','02:54 am','10:00 am','07 hr 06 min',''
'03-26-2015','02:39 am','09:44 am','07 hr 05 min',''
'03-25-2015','02:45 am','09:43 am','06 hr 58 min',''
'03-24-2015','03:47 am','09:46 am','05 hr 59 min',''
'03-23-2015','01:31 am','08:45 am','07 hr 14 min',''
'03-21-2015','03:30 am','11:00 am','07 hr 30 min',''
'03-20-2015','04:13 am','10:15 am','06 hr 02 min',''
'03-19-2015','02:18 am','10:30 am','08 hr 12 min',''
'03-18-2015','02:30 am','11:00 am','08 hr 30 min',''
'03-17-2015','04:01 am','09:00 am','04 hr 59 min',''
'03-16-2015','02:04 am','08:00 am','05 hr 56 min',''
'03-15-2015','03:16 am','11:30 am','08 hr 14 min',''
'03-13-2015','03:30 am','11:10 am','07 hr 40 min',''
'03-12-2015','04:01 am','10:30 am','06 hr 29 min',''
'03-11-2015','02:52 am','09:42 am','06 hr 50 min',''
'03-10-2015','01:42 am','09:34 am','07 hr 52 min',''
